Date,规模以上工业增加值:当月同比,中国:日均产量:生铁:重点企业,中国:日均产量:粗钢:重点企业,重点电厂:日耗量:煤炭,中国:开工率:聚酯产业链:精对苯二甲酸,中国:开工率:聚酯产业链:对二甲苯,中国:开工率:聚酯产业链:聚酯,中国:开工率:聚酯产业链:织造业,中国:开工率:聚酯产业链:乙二醇(综合),开工率:PTA装置,中国:主要45港口:日均疏港量:铁矿石,中国:生产率:焦炉:国内独立焦化厂(230家),中国:高炉开工率(247家),中国:产量:螺纹钢:主要钢厂,中国:开工率:线材:主要钢厂,中国:产量:线材:主要钢厂,中国:产量:冷轧板卷:主要钢厂,中国:产量:热轧板卷:主要钢厂,中国:产量:中厚板:主要钢厂,中国:产量:钢材:重点钢铁企业,中国:开工率:产能(>200万吨):焦化企业(230家),中国:开工率:产能(100-200万吨):焦化企业(230家),中国:开工率(常减压开工率):山东地炼厂,中国:产能利用率:成品油:独立炼厂,中国:产能利用率:成品油:主营炼厂,中国:开工率:精对苯二甲酸,中国:江浙地区:开工率:涤纶长丝,中国:装置负荷率:涤纶短纤,社会库存:PTA:期末值,港口库存:MEG(乙二醇):华东地区:期末值,聚酯瓶片:企业开工负荷:当周值,中国:产量:乙烯,中国:开工率:乙烯,PVC:开工率:当周值,工厂库存:PP粉:当周环比,库存:PP:国内:当周环比,社会库存:PVC:同比,中国:产能利用率:水泥熟料,制造业PMI,制造业PMI:生产,制造业PMI:新订单,制造业PMI:新出口订单,制造业PMI:从业人员,规模以上工业发电量:当月同比,月产量:PTA:中国:环比
2020-11-13,,190.77,214.61,,80.676,82.99,88.686,84.0,64.694,80.676,317.32,82.29,86.32,0.011677591331331172,0.009061550677575525,-0.013582132486655851,83.18,321.11,0.011210235247085087,2014.17,87.34,74.45,70.85,0.012140404771247226,,-0.009634665058780634,87.44,93.44,,,,,,,-9.2657,-3.6759,-3.962,72.21,,,,,,,
2020-11-20,6.9,186.87,211.34,,82.988,82.99,88.566,82.0,63.017999999999994,82.988,322.23,80.86,86.47,-0.01025905274424943,0.0,-0.016293128947173052,84.08,333.48,-0.0027907993354192584,2064.71,86.18,74.38,71.46,0.02620114855885447,,0.03400780340975018,87.43,93.44,,,,,,,-31.4066,-13.0582,2.6857,73.67,,,,,,,
2020-11-27,,,,,85.478,82.99,89.056,80.6,58.552,85.478,321.4,82.09,86.32,0.001138936467686591,0.0,0.004161155994809818,84.05,332.35,-0.0034455564918118853,,87.39,75.31,72.11,0.01700301486058642,,0.023793195480077856,87.72,91.22,,,,,,,27.809,-12.6306,-2.0129,70.11,52.1,54.7,53.9,51.5,49.5,2.2,1.866852886
2020-12-04,,184.37,210.57,,86.79,78.454,88.83,78.8,58.372,86.79,319.18,80.52,85.4,-0.0006665370869143317,0.0,0.011074726048945216,,,,2135.73,87.32,74.54,72.43,-0.0039506896967784755,,0.02040549486705956,87.75,93.44,,,,,,,38.0952,20.3349,-3.6324,66.45,,,,,,,
2020-12-11,,195.0,220.25,,86.33000000000001,77.32,88.77000000000001,78.0,57.7,86.33000000000001,306.25,79.2,84.75,-0.012383626464046671,-0.009061550677575525,-0.008875058254431245,84.42,329.7,,2094.5,84.97,74.42,72.98,-0.05918387749536702,,-0.0018578225112984015,87.75,90.78,,,,,,,18.3024,7.2991,2.7614,58.17,,,,,,,
2020-12-18,7.0,,,,85.38199999999999,76.68799999999999,88.872,77.8,58.504,85.38199999999999,297.08,79.55,85.31,-0.018910810861276772,-0.017196576496802507,-0.011936104323244656,84.41,329.63,-0.027607431316007514,,85.2,75.22,72.98,0.004046833099097924,,-0.02301495697962519,87.75,90.47,,,,,,,-3.0045,-3.5204,12.626000000000001,55.87,,,,,,,
2020-12-25,,193.51,220.16,,81.44800000000001,74.16,88.872,76.9,57.004,81.44800000000001,303.87,78.31,85.56,-0.005864782219585862,-0.01749748080901714,-0.01015301975403915,84.68,325.91,0.015074670848062688,2136.58,84.36,72.34,73.16,-0.0033229821807747584,,-0.02907313555376856,86.58,89.59,,,,,,,7.4434,3.786,29.3056,52.25,51.9,54.2,53.6,51.3,49.6,2.3,6.818701156
2021-01-01,,188.98,216.29,,79.21333333333332,74.16,88.33999999999999,76.5,57.60666666666666,79.5275,280.02,75.89,86.1,0.010155283924484948,0.0,-0.031225037853984006,84.41,333.12,-0.008022064255154504,2461.61,82.13,70.6,74.01,-0.0008686839984513028,,-0.029112946360813297,85.73,89.59,,,,,,,-3.6145,-4.9167,-13.008199999999999,52.24,,,,,,,
2021-01-08,,,,,79.55,72.788,87.386,77.0,57.641999999999996,79.55,302.19,78.25,85.27,-0.002772420496778061,0.009379954129815182,-0.0013915120026855021,86.14,331.06,0.0610332930832449,,84.7,72.88,74.99,0.03249074621976611,,0.0011856771604845662,88.26,89.59,,,,,,,11.6964,17.459,-26.8164,56.29,,,,,,,
2021-01-15,,194.35,219.56,,75.556,75.508,86.09400000000001,72.2,58.388,75.556,296.42,77.55,84.22,-0.011804133145877138,0.0,0.02281318208234051,86.18,333.01,-0.010229695330522759,2051.9,,,72.21,-0.03017593037131494,,-0.029095584504936767,87.62,89.1,,,,,,,-0.2398,-2.1302,6.256499999999999,55.3,,,,,,,
2021-01-22,7.3,196.09,221.81,,79.974,76.22,85.19,66.2,53.470000000000006,79.974,318.83,77.51,83.18,-0.002435701613027419,-0.027341345604321,-0.04581966311608099,87.1,337.19,-0.02415613088447266,2060.33,82.95,74.0,74.2,0.002021077633253654,,0.02100511800702609,82.12,84.23,,,,,,,-1.1218,12.3821,-13.840499999999999,54.38,,,,,,,
2021-01-29,,,,,82.63,77.44800000000001,82.422,50.6,56.152,82.63,304.0,78.11,82.01,-0.031526770226797396,-0.05542191379296035,-0.04766445794122731,87.19,336.72,0.03178233606959946,,83.52,75.03,73.82,-0.008545203710196958,,0.017877703399800993,78.44,82.0,,,,,,,-28.282,-13.2989,-17.7318,49.09,51.3,53.5,52.3,50.2,48.4,,-5.75664228
2021-02-05,,192.03,217.66,,81.96200000000002,79.29,80.06,29.4,61.444,81.96200000000002,328.08,78.07,83.22,-0.03624336653447546,-0.07919792616021493,-0.03637818707787055,85.85,333.88,0.01029982059433543,2416.01,83.98,73.59,73.01,-0.0075923857193487265,,-0.004586894252122775,78.44,80.38,,,,,,,13.1638,6.627,-21.192999999999998,50.04,,,,,,,
2021-02-12,,191.63,215.44,,85.46999999999998,79.29,80.3,15.0,60.89666666666667,85.47,,,,,,,,,,2017.73,,,,,,,70.92,80.91,,,,,,,-3.994,-3.1425,-4.450900000000004,,,,,,,,
2021-02-19,,,,,82.01,79.29,82.62,11.5,61.97,82.01,284.92,79.75,84.0,,,,82.89,341.55,,,85.4,76.94,74.18,,,,,,,,,,,,182.1113,80.6056,18.890900000000002,40.55,,,,,,,
2021-02-26,,202.1,228.24,,81.77333333333334,80.23166666666667,86.29666666666667,25.333333333333332,65.38,81.77333333333334,295.04,79.48,83.84,0.03197826545006954,0.029757596225367777,0.03634883427310598,84.77,327.46,0.03388943127158672,2120.86,84.89,77.01,74.33,0.02017091490463141,,-0.00757800187208435,80.97,89.22,,,,,,,-38.2857,-12.0559,2.3645999999999994,40.76,50.6,51.9,51.5,48.8,48.1,,-3.906480536
2021-03-05,,204.93,231.95,,81.99600000000001,84.89,87.88,64.8,66.696,81.99600000000001,271.46,80.23,83.31,0.057320360121154046,0.06648296044867319,0.059296444405618765,86.46,319.93,0.008748962193235954,1914.18,85.85,76.62,74.96,-0.013689077302441177,,-0.006810735580014438,88.99,86.74,,,,,,,53.0167,-2.5571,2.1448,38.33,,,,,,,
2021-03-12,,198.78,227.13,,74.512,79.956,89.74199999999999,73.2,68.474,74.512,278.77,79.56,80.32,0.03175517344384016,0.008949295957515702,0.027847937837914394,86.46,312.29,-0.007695036221800677,2130.14,85.15,75.67,74.96,-0.002587695521024891,,-0.10030673514177835,91.35,87.65,,,,,,,-19.5784,-5.3727,-6.622199999999999,42.35,,,,,,,
2021-03-19,,,,,77.4,83.35,90.624,76.2,67.508,77.225,282.24,79.09,79.67,-0.006674939189010409,0.01811450703877604,0.00013298756585911065,86.84,307.49,-0.04598511324182297,,84.04,76.77,74.63,0.008599737677652541,,0.012813221312375944,92.65,90.14,,,,,,,25.7767,-4.1024,0.7775999999999996,59.54,,,,,,,
2021-03-26,,191.34,221.36,,79.294,80.10999999999999,89.738,78.0,68.014,79.294,306.34,78.15,79.55,0.014529765995768607,0.0,-0.0008647354781041727,87.05,327.18,0.011914039255389142,2076.21,82.49,77.32,73.88,-0.019454464706441854,,0.05309208711206992,93.96,88.89,,,,,,,-4.4577,-10.5407,-2.434199999999997,62.67,51.9,53.9,53.6,51.2,50.1,,7.369962678
