Date,Nowcast值,规模以上工业增加值:当月同比
2021-11-19,4.501966303430056,
2021-11-26,4.408925239714509,3.8
2021-12-03,4.30285202771403,
2021-12-10,4.640593238701173,
2021-12-17,3.506826286929821,
2021-12-24,4.474442607581707,
2021-12-31,3.171913400987167,4.3
2022-01-07,3.3826016020813645,
2022-01-14,3.4916249832880593,
2022-01-21,3.986337938918548,
2022-01-28,4.028125908281289,
2022-02-04,3.7752661643719803,
2022-02-11,4.189292978424596,
2022-02-18,3.7561001421244042,
2022-02-25,4.309447516708054,
2022-03-04,4.136189598612905,
2022-03-11,3.4673849053865937,
2022-03-18,4.076360246248939,
2022-03-25,3.1612127345734264,5.0
2022-04-01,4.768840552269403,
2022-04-08,3.9849103716415835,
2022-04-15,3.8017648200772958,
2022-04-22,4.100715433127702,
2022-04-29,3.83737992407594,-2.9
2022-05-06,3.5678450958625265,
2022-05-13,2.876510126608908,
2022-05-20,2.7938214253504436,
2022-05-27,2.7583795139972187,0.7
2022-06-03,2.3919059662204725,
2022-06-10,3.0176543955475053,
2022-06-17,2.6708255196489654,
2022-06-24,3.8394512838514183,3.9
2022-07-01,2.6191013964616094,
2022-07-08,3.9328930277849117,
2022-07-15,2.164363398218077,
2022-07-22,3.3088254256132297,
2022-07-29,3.2607523654484925,3.8
2022-08-05,2.923897174800468,
2022-08-12,3.261511128136801,
2022-08-19,2.812350850462746,
2022-08-26,2.796968589876523,4.2
2022-09-02,2.10361823166843,
2022-09-09,2.3672696350698836,
2022-09-16,2.799489751873209,
2022-09-23,2.287148440252969,
2022-09-30,3.133434721324673,6.3
2022-10-07,2.1731612743722186,
2022-10-14,2.3574182324729804,
2022-10-21,2.197664895561604,
2022-10-28,1.9180624458180504,5.0
2022-11-04,1.9343909955986547,
2022-11-11,1.1290667137190202,
2022-11-18,2.0171186222898494,
2022-11-25,1.8094672409734094,2.2
2022-12-02,2.6210572574058206,
2022-12-09,1.5639080120099895,
2022-12-16,2.4083125052092917,
2022-12-23,2.040453823869368,
2022-12-30,1.9572479898916937,1.3
2023-01-06,2.639890836268049,
2023-01-13,3.2420610511113246,
2023-01-20,2.872575232668344,
2023-01-27,3.6752592008585454,
2023-02-03,3.076018798608491,
2023-02-10,3.3757991980631408,
2023-02-17,2.9493716544550637,
2023-02-24,3.8532074345244354,
2023-03-03,4.465426240249924,
2023-03-10,4.5639774945751075,
2023-03-17,3.98729828242534,
2023-03-24,4.771047744142478,
2023-03-31,4.8583373391808475,3.9
2023-04-07,5.09041352810336,
2023-04-14,4.842085996065471,
2023-04-21,5.5016201255482535,
2023-04-28,5.272452618930141,5.6
2023-05-05,5.419212947785279,
2023-05-12,5.268395977793928,
2023-05-19,6.021766513670003,
2023-05-26,5.308517378401288,3.5
2023-06-02,5.294562310522204,
2023-06-09,5.118070215993077,
2023-06-16,5.3165266274472245,
2023-06-23,5.0351264713993755,
2023-06-30,4.815338790782834,4.4
2023-07-07,5.245529237436297,
2023-07-14,5.114819110648487,
2023-07-21,4.849483280179017,
2023-07-28,4.354968435683097,3.7
2023-08-04,4.863710574874323,
2023-08-11,4.156939803479355,
2023-08-18,4.764969262581056,
2023-08-25,3.7983654848585977,4.5
2023-09-01,5.276621818410387,
2023-09-08,4.474247049724514,
2023-09-15,6.04185815553509,
2023-09-22,5.396254001272756,
2023-09-29,5.0159412585795256,4.5
2023-10-06,4.462057217120074,
2023-10-13,4.8824086005501295,
2023-10-20,5.082669154915618,
2023-10-27,4.622180919054895,4.6
2023-11-03,6.053069781503191,
2023-11-10,4.969206174352305,
2023-11-17,6.559415095252951,
2023-11-24,5.469808148743188,6.6
2023-12-01,5.8151529419905446,
2023-12-08,5.594813890321238,
2023-12-15,5.878308280306594,
2023-12-22,5.39887420339794,
2023-12-29,6.07479924313838,6.8
2024-01-05,5.0484274567811145,
2024-01-12,4.942947669277188,
2024-01-19,4.792518996308786,
2024-01-26,5.577575129563206,
2024-02-02,5.064899010171839,
2024-02-09,5.100578872103968,
2024-02-16,4.55214792809447,
2024-02-23,4.398966484319921,
2024-03-01,4.712181267789307,
2024-03-08,4.594956107964643,
2024-03-15,4.192203522325878,
2024-03-22,4.702096910216715,
2024-03-29,3.265761712607582,4.5
2024-04-05,4.006415893892467,
2024-04-12,2.9096053322594666,
2024-04-19,4.443828855679028,
2024-04-26,2.832118031710951,6.7
2024-05-03,3.953812544347045,
2024-05-10,3.6087918335878264,
2024-05-17,3.917345100385485,
2024-05-24,3.5815202226304335,
2024-05-31,3.017869352417217,5.6
2024-06-07,3.8767228515423424,
2024-06-14,2.581570330411805,
2024-06-21,2.9946240223524505,
2024-06-28,3.6944206764476686,5.3
2024-07-05,4.239443554881567,
2024-07-12,3.7808913440845,
2024-07-19,5.012979719095364,
2024-07-26,4.679896132628808,5.1
2024-08-02,4.792903014729832,
2024-08-09,5.1872464868744945,
2024-08-16,4.933189472311495,
2024-08-23,5.294263453155709,
2024-08-30,5.550712061355266,4.5
2024-09-06,5.334646531412091,
2024-09-13,5.259857133619237,
2024-09-20,5.521090534107019,
2024-09-27,5.257625872395302,5.4
2024-10-04,5.2625503398232585,
2024-10-11,5.875821281736259,
2024-10-18,5.4821591788133155,
2024-10-25,4.528579806957369,5.3
2024-11-01,5.166186185441297,
2024-11-08,5.145130428842487,
2024-11-15,4.636031043626954,
2024-11-22,4.650654665292522,
2024-11-29,5.1079247024496315,5.4
2024-12-06,5.720506085032489,
2024-12-13,4.975598061093238,
2024-12-20,5.33422061258616,
2024-12-27,5.335782882121317,6.2
2025-01-03,5.0999255478145,
2025-01-10,5.068691862860642,
2025-01-17,5.475648065038132,
2025-01-24,4.887713104941565,
2025-01-31,4.7741101827059955,
2025-02-07,4.414288305313897,
2025-02-14,5.775222049645213,
2025-02-21,4.849145694331649,
2025-02-28,6.300993903648102,
2025-03-07,5.525093493044211,
2025-03-14,4.808994748756537,
2025-03-21,5.2059861118164426,
2025-03-28,5.186187873306886,7.7
2025-04-04,4.421300564104215,
2025-04-11,4.585652474927581,
2025-04-18,5.276752463699701,
2025-04-25,5.19849210747152,6.1
2025-05-02,5.115944161597749,
2025-05-09,4.911106672002297,
2025-05-16,5.015517184198351,
2025-05-23,4.9952656563472,
2025-05-30,5.346096867470667,5.8
2025-06-06,5.4239686965038345,
2025-06-13,5.5323941730091475,
2025-06-20,6.004639099589216,
2025-06-27,5.725907042860111,6.8
2025-07-04,5.600641480019403,
2025-07-11,5.818170007338619,
2025-07-18,5.445425184817701,
2025-07-25,5.134206998675771,5.7
2025-08-01,5.216993558871557,
2025-08-08,5.218954719799575,
2025-08-15,5.016383995701831,
2025-08-22,5.038706559755899,
2025-08-29,5.329861778156664,5.2
2025-09-05,4.687352612792955,
2025-09-12,5.051346051902108,
2025-09-19,5.4447204275354775,
2025-09-26,5.867827781907684,6.5
2025-10-03,5.098055467166243,
2025-10-10,4.397842297126607,
2025-10-17,4.330052625516573,
2025-10-24,5.428619136404338,
2025-10-31,5.6226480224938555,
